id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen,coords.x1,coords.x2,check,status,changes
197,18,Bayard Ave.,Fountain,pots (4),1,59061,3/8/84,1984,1,7/1/15,SAME,0,0,889240.9751,1027765.867,pass,street closed,
198,18,Enright Ave.,Newstead Av.,pots (4),1,63915,1/21/97,1997,1,9/1/14,SAME,0,0,891729.522,1025534.447,pass,street closed,
199,18,Enright Ave.,Taylor,pots (7),1,63708,3/26/96,1996,3,7/1/15,fence,0,0,890815.4839,1026040.278,pass,street closed,
201,18,Fountain Ave.,Walton,pots (5),1,60872,4/20/88,1988,1,5/1/15,SAME,0,0,889592.711,1027493.818,pass,street closed,
202,18,Maryland Ave.,Whittier,cul,3,58100,6/26/80,1980,3,5/1/15,wrought iron fence,0,0,892178.8908,1022553.552,pass,street closed,
203,18,McMillan Ave.,Walton,pots (4),1,59061,3/8/84,1984,1,5/1/15,SAME,0,0,889609.1312,1027068.277,pass,street closed,
204,18,Olive St.,Walton,pots (4),1,60672,4/20/88,1988,1,5/1/15,SAME,0,0,889279.3415,1025267.989,pass,street closed,
205,18,Olive St.,Whittier,,4,66915,11/23/05,2005,4,9/1/14,pots (4),0,0,892685.5785,1023555.058,pass,street open,
206,18,Washington Blvd,Newstead,posts/chains,2,57722,12/18/78,1978,3,5/1/15,pots (9),0,0,891246.8455,1024906.801,pass,street closed,
207,18,Washington Ave.,Pendleton,pots (6),1,59116,4/10/84,1984,3,5/1/15,pots (4)/fence/cul,0,0,891918.8795,1024273.249,pass,street closed,
208,18,Washington Blvd.,Walton,pots (4),1,60872,4/20/88,1988,3,3/1/15,raised platform,0,0,889366.6743,1025606.801,pass,street closed,
209,18,West Belle Pl.,Sarah,pots (5),1,60872,7/26/91,1991,2,9/1/12,,0,1,894189.1608,1024704.938,pass,street open,
210,18,Westminster Pl.,N Taylor Ave,cul,3,59772,3/5/86,1986,1,7/1/15,SAME,0,0,890043.1658,1024595.174,pass,street closed,street name fixed
211,18,Whittier St.,McPherson Ave.,,4,63376,2/7/95,1995,3,5/1/15,pots (10),0,0,892316.0799,1022896.649,pass,street closed,
213,19,University St.,Glasgow,pots (4),1,63763,4/8/96,1996,1,3/1/15,SAME,0,0,901018.8901,1027231.412,pass,street closed,
214,19,Westminster Pl.,Vandeventer,pots (4),1,64484,11/17/98,1998,3,7/1/15,cul,0,0,894539.0081,1022085.39,pass,street closed,street name fixed
215,19,Windsor Pl.,Spring,cul ,3,63962,1/3/97,1997,3,9/1/14,pots (9),0,0,896516.5185,1023639.456,pass,street closed,
223,20,Oregon Ave.,Miami,,4,64542,7/12/00,2000,3,7/1/11,Do Not Enter Sign,0,0,896863.3293,1004103.442,pass,street closed,
224,20,Palm St.,Shreve,cul,3,57901,1/9/99,1999,1,9/1/14,SAME,0,0,892572.4953,1033996.224,pass,street closed,
228,21,Essex Pl.,4600 Block,cul,3,57911,10/15/79,1979,3,9/1/14,SAME,0,0,893697.1145,1034154.675,pass,street closed,street name fixed
229,21,Kossuth Ave.,Fair,cul,3,59115,4/10/84,1984,1,9/1/14,Street Open,0,1,898446.5917,1032891.513,pass,street closed,
230,21,Penrose St.,Dryden,pots (4),1,68049,7/11/09,2009,1,8/1/14,SAME,0,0,895270.3917,1035514.07,pass,street closed,
231,22,Amherst Terrace,Ridge Ave,pots (4),1,66147,2/9/04,2004,1,8/1/11,SAME,0,0,881594.0537,1033708.645,pass,street closed,
232,22,Etzel Ave.,Blackstone,pots (4),1,66249,5/19/05,2005,1,8/1/11,SAME,0,0,882141.0372,1030610.947,pass,street closed,
233,22,Julian Ave.,Goodfellow,cul,3,58338,7/24/81,1981,3,8/1/12,cul / pots(3),0,0,881856.067,1031195.418,pass,street closed,
234,22,Kennerly Ave.,Clara,pots (4),1,64987,7/12/00,2000,2,9/1/11,Street Open,0,1,885270.4637,1034739.813,pass,street open,
235,22,Plymouth Ave.,Goodfellow,cul,3,57911,10/15/79,1979,1,8/1/11,SAME,0,0,881460.5678,1030740.542,pass,street closed,
237,26,Beck Ave.,Ridgewood,cul,3,63636,2/5/96,1996,3,5/1/15,cul/pots(4),0,0,886109.7675,1004627.694,pass,street closed,
238,26,Bartmer Ave.,Clara,pots (4),1,64779,11/18/99,1999,3,10/1/09,pots(6),0,0,882821.8673,1030135.455,pass,street closed,
